external_source,external_track_id,track_id,old_full_path,artist,title,bpm,key,rating,color,duration_seconds,date_added,last_played,play_count,snapshot_date
rekordbox,98345328,a9de9d28-1482-50b0-8462-257692d4cd33,/Users/sztuka/Music/rekordbox/Sampler/GROOVE CIRCUIT/PRESET/4-Floor Breaks Kit/House1.wav,rekordbox,House 1,123.0,1A,0,0,1,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,120203785,deb0d5b9-b321-58d1-8853-b4f43ef35a83,/Users/sztuka/Music/rekordbox/Sampler/GROOVE CIRCUIT/PRESET/4-Floor Breaks Kit/House2.wav,rekordbox,House 2,125.0,6A,0,0,1,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,50127495,40d4f4d2-7ab4-5098-8703-32ea1448135a,/Users/sztuka/Music/rekordbox/Sampler/GROOVE CIRCUIT/PRESET/4-Floor Breaks Kit/Techno1.wav,rekordbox,Techno 1,136.0,4A,0,0,1,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,216799966,142260e4-952b-53b9-9fa4-5d602ee574c0,/Users/sztuka/Music/rekordbox/Sampler/GROOVE CIRCUIT/PRESET/4-Floor Breaks Kit/Breaks1.wav,rekordbox,Breaks 1,130.0,7A,0,0,7,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,143504317,b3452f7f-a9e0-5519-90a2-fa85d461665f,/Users/sztuka/Music/rekordbox/Sampler/GROOVE CIRCUIT/PRESET/4-Floor Breaks Kit/House3.wav,rekordbox,House 3,140.0,1A,0,0,13,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,99481789,1ebc2612-3362-5c7f-bf8f-550ae1954d8f,/Users/sztuka/Music/rekordbox/Sampler/GROOVE CIRCUIT/PRESET/4-Floor Breaks Kit/House4.wav,rekordbox,House 4,150.0,1A,0,0,12,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,10603189,dd0576f3-43cd-588d-890a-f46c025a1e66,/Users/sztuka/Music/rekordbox/Sampler/GROOVE CIRCUIT/PRESET/4-Floor Breaks Kit/Breaks2.wav,rekordbox,Breaks 2,140.0,1A,0,0,13,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,8148021,1f6fdb35-2236-52a8-a534-cdc80ca012b1,/Users/sztuka/Music/rekordbox/Sampler/GROOVE CIRCUIT/PRESET/4-Floor Breaks Kit/Breaks3.wav,rekordbox,Breaks 3,121.0,11B,0,0,7,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,93053540,38662bae-f4e3-589b-901a-6a15b75453fc,/Users/sztuka/Desktop/MUSIC/DJ MUSIC BACKUP 2025/Elektryczne Gitary - To już jest koniec.mp3,to juz jest koniec,Elektryczne Gitary - To ju¿ jest koniec,95.24,9B,0,0,160,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,140587145,c41107fc-805f-52bd-9822-60054331ae89,/Users/sztuka/Desktop/MUSIC/DJ MUSIC BACKUP 2025/Touch And Go - Tango In Harlem.mp3,Touch And Go,Tango In Harlem,131.01,3A,0,0,202,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,30810359,437366a9-b499-55ae-8fa2-d7e0291d07d5,/Users/sztuka/Desktop/MUSIC/DJ MUSIC BACKUP 2025/Winx - Don't laugh (Extended Mix).mp3,Winx,Don't laugh (Extended Mix),128.3,6A,0,0,512,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
rekordbox,200316440,02a153a1-e193-5414-aa19-4ff4dd5031f2,/Users/sztuka/Music Unsorted/Bastille/Bastille - Pompeii (Merchant vs Vidojean & Oliver Loenn City Boys Edit) [6B 116].mp3,Bastille,Pompeii - Merchant vs Vidojean & Oliver Loenn City Boys Edit,116.0,6B,0,0,282,2025-12-03,,1,2025-12-03T03:05:17.047655+00:00
rekordbox,86332791,4089406a-454f-5375-8831-fcd9894bb8d2,/Users/sztuka/Music Unsorted/AC-DC - T.N.T. [12B 128].mp3,AC/DC,T.N.T.,127.66,12B,0,0,214,2025-12-03,,2,2025-12-03T03:05:17.047655+00:00
rekordbox,185750230,d170e8e6-f013-59d5-9630-7bfc2fcaa099,/Users/sztuka/Music Unsorted/Bon Jovi/Bon Jovi - It's My Life [5A 120].flac,Bon Jovi,It's My Life,119.99,5A,0,0,224,2025-12-03,,0,2025-12-03T03:05:17.047655+00:00
