external_source,external_track_id,track_id,old_full_path,artist,title,bpm,key,cue_count,snapshot_date
traktor,AeomVlZWVmZlbeZ2ZmZnZmn6ZmZndnZmr4dmZ3d3ZnyiERERERERESIiMiMiIiIzMzNFVneezd7+zb3fycrc/s28zd28vc7c29v9nMy77Y29rf/b7P7dzM7JvM3v7evZZFu93/y9ze+by+z+vs3P/fxDVlNDRGVvhVd2RVVnafh3d1VmZ3bLMzM0iZmbzcqr3/zN3uzb3f2cvc/t3Mzuy/vs79zN3v/+3e/q6/3//c7P7M3d78vM7f7Nzd/t3Mzu7Nvd/b2+z+3d3e7ruczZuaq9mIuLu6mou8ivv879rM3f/uzt/82+3//s3d/p2vz/3r7P/a3N7/ciIiIiIiIQAA==,67967c01-c677-549d-a3dc-188854be0c12,/Users/sztuka/Music Library/Armand Van Helden/Armand Van Helden - My My My (Deekline & Wizard Vocal Mix) [9A 136].flac,,,135.997299,16,1,2025-12-02T00:27:47.254404+00:00
traktor,AOwTIzM1UyMzRVMkQ0VTJENEVERERERERERDMzMjrMzLvMzNy7zM3cu8zOzMzMzd/Mze7d3sze3czc7tu8u93MvLve28y97drNu+zLzLvt2827/cu8rv3d3bz8upru7e3N7ezt7M3t3M3e/dzLzO3Mu83su7vN3MzLzdy7u83czNvd27vL7t3Ly8qqiJve3P7M7t3e3O7cy83Oq6vMzc783e//7//e3/3v79/d7s3Ny8zMzc3czc27vMzMu93MzLvMzMu73MzLu6iKmoeIqqmHiLmph5m5uYis297O/u7+3v///////f/+3NztvN39/v783f7e7ezu7dze7Jh3ZDIQ==,e9809f36-f261-5b74-8ca5-23bfaff5363f,/Users/sztuka/Music Library/Armand Van Helden/Armand Van Helden - U Don't Know Me feat. Duane Harden [6B 130].flac,,,129.998550,10,1,2025-12-02T00:27:47.254404+00:00
traktor,ARo2ZmZmZmZmZmZmZmZmZmZ2ZmZmZmZmZmZmZmZmMiT//v//7/7d3////v///t/+//7v///t7///7v///v25upmaq6qaq5upqamZhm//////////////////////////////////////7upVZURFREQzZFVDNEI1iauaqZm6qrmruruqmrurys3MzKrN3d7bzLuqm6qcu////////////////////////////////////////////////////////////////////////////////////////////////////My5mYq7mZmbu5iIqqmIiaqIh3mZiHeJmHd2iIRDIA==,07c0fd8e-157b-5d85-bc98-9426ed01839c,/Users/sztuka/Music Library/Bastille/Bastille - Pompeii (Merchant vs Vidojean & Oliver Loenn City Boys Edit) [6B 116].mp3,,,115.999733,10,3,2025-12-02T00:27:47.254404+00:00
traktor,AWSNvd3Nvdzb3dzb3b693c292+vdzMzdzs3s3c3r7N7N3M6WRXVWRWR0V1VkZ7////797///7dvN7/7/////////7u//////////////////////////////+ViYdUaGhUpEeIhZdadomZiqjKebu6y62qq8qbvMu6u5n/////////////////////////////2XeFiXdWd3h3cyW//////////////+lXhFh3doRnRXd3e6uqmcqat7uXiZmv////////////////////////////////////////////7e7eze3t3ezs3t7czr3M3NzM69zOzczNzcvs3czc3L7A==,bf07de32-15ff-566e-9b3a-9f4219130e05,/Users/sztuka/Music Library/Benson Boone/Benson Boone - Beautiful Things (Karibu Remix) (Extended Edit) [6A 124].mp3,,,124.000015,19,1,2025-12-02T00:27:47.254404+00:00
traktor,AXR93t7O7t7e3e3e7fz93t3u79/e7t+m/////////////////////////////7mKq8q7vJm5zKu6rLq8y6rKuZqaqqy6p5upd7qriamVbv/////////////////////////////////////////////////////e28zLuaq7qrqZmIm5iqq7mr3L3JzNze3e7s3M3Kzd2cysurq7iqq5m7ypupy6u///////////////////////////////////////////////////////////////////////////////////////vt/O7d7e7e3u7f393t3t39/e7t/e6FIQAA==,031efec4-1b0b-5891-a9a1-eb31edacf21d,/Users/sztuka/Music Library/Beyoncé/Beyoncé - Break My Soul (Inmahead X Hoax Afro House Remix) [1A 120].mp3,,,119.999916,20,1,2025-12-02T00:27:47.254404+00:00
traktor,AOADzIZVar3Ly6mq2qmXm8zKq6m73d3cvuy6rKm77s3N7+7u3e/+y6rf/s7+7d3u///+3v/////93M3u7////+ze7t//7v/////+7s//+4q7us24q6ze3Lqai8zKvKu87srsvdzLzLvM7u7//u3d3+//y7zv/t/+/c3u7//93v/v///93N7u7////+7e7u//7v/////+7u/v///v/u/+/v7u7/7v///+7//////+7v//zO3d3Jz/7e///c3u7//97u7//+/szN7//////93u7v/+7//////93O//7////93e7///7//////+3d7//////+3v/u//7v//////7v//QA==,3f6819e1-d1a7-5163-bcc7-434b6613eb41,/Users/sztuka/Music Library/Bon Jovi/Bon Jovi - It's My Life [5A 120].flac,,,120.003471,12,1,2025-12-02T00:27:47.254404+00:00
traktor,ASgAAREREiI0VmVDZWh4iJmZqJiImHh4eIiHh4rLzLq7q8y7zLrKvcqcy7vLzNytu8up7azLnNrN3d3e3bze3uzN7e3M3d/v3PzN3b7L7u3Mq8u7vLu7zt3czMzM7szc3d3N3t7bu7zLvMvLu7y7zM3LzMzN283avb3uze6t/dy7zcze3N293c/9zLrLvLy8zLzcm8usy7y5u7vbjczMyr66zLvcncus+sy87cvv27us3czLzd3du97uzd3O/cu8vdzM3v3LvMvMzMzM7d3t3d3Mze7d3e7d3u7u3u3e3u7u3t3t3/7dy7zMzLzMzMzM28zMzMy6mau7qqqqmZqZmQ==,3bc6cfb8-6013-5839-b120-e0a558213b02,/Users/sztuka/Music Library/Bruce Springsteen/Bruce Springsteen - Born In The USA [1B 113].flac,,,113.007370,11,1,2025-12-02T00:27:47.254404+00:00
traktor,AXZJiImIiJmYiJiIiZmIiIiImZiIiYiJv93t/v7+7t7f7+7u7e3+/u7u3+/v/9qqu6mZqauruaqrmbqru7y5qqupupq//////////////////////////927v/////////////////////////////tDIiIiIjIzNERFV6iJiJmZiqq7uqq6u7q93durvLrNzMqpqau7q6maqru7q6m7q7uqmZqYmYiu///////////////////////////7rP//////////////////////////////7/////7+///////v//////7///qauqqqqqqqqZqamZmZiJiYiIiIeHiHhw==,d829dd1d-00de-53f8-a5ae-85687fe64e35,/Users/sztuka/Music Library/Depeche Mode/Depeche Mode - Enjoy The Silence (Vidojean & Oliver Loenn Remix) [5A 118].mp3,,,117.999947,12,1,2025-12-02T00:27:47.254404+00:00
traktor,ATAlRFRFRERURURUVEVb///////////////3n///////////////+////////////////6qIeIh3d3hnd3dnd1Ov///////////////t//////////////+qyol4mHiIiHiHeHiYV////////////////9///////////////6z///////////////mrhmVmVWZmZWZmZWdleau7mZmKqsmYnLrIZnd2ZnZnZph4ZndnZmh3dmh2hmiHd2d2Z1WP///////////////8///////////////a3///////////////mv//////////////+a3//////////////1RRAA==,0fda1c07-8188-54b8-b927-98bfaf72d737,"/Users/sztuka/Music Library/Dubdogz, DLMT/Dubdogz, DLMT - I Love It (Extended Mix) [4A 127].mp3",,,127.000092,17,1,2025-12-02T00:27:47.254404+00:00
traktor,AVQSIiIiIiIiIiIiIiIiMzIiIjMyMjMzMzM1ZkNERFVFVVZEZVMzRFRUVlVURVVVRmZDV2Y1ZEU0VUVUVVVmZWVoqqq6mqiLu7qrmruqyru7yrqYu6u6u4y7rP//3e7+7////v7/7/////7v/////v7e/4mEIiI0MiJDISIzQiRFUzM0NCM0QyMzNDNVVUZDVTREVURVZVZWdnm7qrqqmZyruquLu6u7uru6upnLu6q5u7qt//3u3/7////v/f/v///v/f/+///9/t/8iWRERDREQ0Q0RDNEREM0RENERDNEREQ0REREMyIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIg==,b7964f16-49ac-5bec-8aa4-8e42c25ae3d0,/Users/sztuka/Music Library/Ed Sheeran/Ed Sheeran - Shivers (Heavy-K Remix) [10A 113].mp3,,,112.999870,23,1,2025-12-02T00:27:47.254404+00:00
